Plant,ClubPlants,Cluster,SubCLuster,TruckType,Destination,operator,Part,sortIndex,Date
1140,1140,N3,N3,32 MA,5106,APML,SG2,1,6
1160,1160,S3,S3,18 FT,8153,MAHAVEERA,SG1,1,5
1140,1140,N3,N3,32 MA,5114,DRS,SG1,1,5
1150,1150/1180,N5,N5,32 MA,400294,RCI,SG2,1,10
1130,1130,S5,S5_1,32 MA,8001,EXPRESS,SG1,1,5
1140,1140,S1,S1_1,32 MA,400316,CHINNA,SG1,1,3
1170,1170/1190,N1,N1_1,32 MA,400126,DBRC,SG2,1,7
1130,1130,S5,S5_1,32 MA,8004,EXPRESS,SG1,1,3
1170,1170/1190,S1,S1_1,32 MA,400196,GBL,SG1,1,3
1150,1150/1180,N4,N4,32 MA,400020,DBRC,SG1,1,1
1130,1130,S5,S5_1,32 MA,8006,EXPRESS,SG1,1,2
1130,1130,S5,S5_1,32 MA,8051,EXPRESS,SG1,1,4
1130,1130,S5,S5_1,32 MA,8053,EXPRESS,SG2,1,10
1140,1140,N3,N3,32 MA,400314,LGB,SG2,1,7
1130,1130,S5,S5_1,32 MA,8054,EXPRESS,SG2,1,7
1140,1140,N2,N2,32 MA,5052,APML,SG2,1,10
1140,1140,N2,N2,32 MA,400121,RCI,SG1,1,1
1180,1150/1180,N5,N5,32 SA,400011,RCI,SG1,1,3
1160,1160,W1,W1,32 SA,400331,LGB,SG2,1,6
1140,1140,N2,N2,32 MA,400292,RCI,SG2,1,7
1140,1140,E2,E2,32 MA,6004,ANAND,SG2,1,10
1140,1140,E2,E2,32 MA,6013,NCS,SG1,1,1
1120,1120,N7,N7,32 SA,400051,NSTCL,SG1,1,1
1130,1130,S5,S5_1,32 MA,400071,RCI,SG2,1,9
1140,1140,E2,E2,32 MA,6103,VARUNA,SG2,1,7
1140,1140,W1,W1,32 MA,7001,APML,SG1,1,3
1140,1140,W1,W1,32 MA,7155,EXPRESS,SG2,1,9
1130,1130,S5,S5_1,18 FT,7104,DGFC,SG1,1,4
1160,1160,W1,W1,32 SA,400182,LGB,SG1,1,5
1120,1120,N7,N7,32 SA,400045,NSTCL,SG1,1,3
1130,1130,S5,S5_1,18 FT,8002,MEGA,SG1,1,3
1140,1140,W1,W1,32 MA,7161,EXPRESS,SG2,1,8
1130,1130,S5,S5_1,18 FT,8005,KTC,SG1,1,3
1110,1110,S1,S1_1,32 MA,8300,CHINNA,SG1,1,2
1140,1140,W1,W1,32 MA,400003,MEGA,SG1,1,1
1130,1130,S5,S5_1,18 FT,8055,KTC,SG2,1,10
1130,1130,S5,S5_1,18 FT,8302,KTC,SG2,1,9
1180,1150/1180,S8,S8,18 FT,400171,KTC,SG1,1,5
1130,1130,S5,S5_1,18 FT,8304,MEGA,SG1,1,5
1160,1160,W1,W1,32 SA,400034,LGB,SG1,1,4
1140,1140,W1,W1,32 MA,400075,RCI,SG1,1,5
1120,1120,N7,N7,32 SA,400044,NSTCL,SG1,1,2
