Plant,ClubPlant,Destination,Cluster,SubCluster,RDC,DestCategory,PreferredTruckType,ORGTruckType,RDCCluster,RDCSubCluster,RDCDestCategory,RDCORGTruckType,TruckType,DemandTruck
1120,1120,5052,N7,N7,5040,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.06156428571428571
1120,1120,5053,N7,N7,5040,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.04088214285714285
1120,1120,5054,N7,N7,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 SA,0.02040816326530612
1120,1120,5054,N7,N7,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.01916785714285714
1120,1120,5055,N7,N7,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 SA,0.11864406779661017
1120,1120,5055,N7,N7,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.3677857142857143
1120,1120,5061,N7,N7,5040,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.04542142857142857
1120,1120,5071,N7,N7,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.014639285714285716
1120,1120,5101,N7,N7,5120,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 SA,0.09523809523809523
1120,1120,5101,N7,N7,5120,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.09180952380952381
1120,1120,5102,N7,N7,5120,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.11333928571428573
1120,1120,5103,N7,N7,5120,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.06683333333333334
1120,1120,5104,N7,N7,5120,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.113125
1120,1120,5105,N7,N7,5120,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.031041666666666662
1120,1120,5106,N7,N7,5120,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.16721428571428573
1120,1120,5107,N7,N7,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 SA,0.296875
1120,1120,5107,N7,N7,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.07304166666666667
1120,1120,5108,N7,N7,5120,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 SA,0.17614138438880705
1120,1120,5108,N7,N7,5120,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.024875
1120,1120,5109,N7,N7,5120,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 SA,0.4021978021978022
1120,1120,5109,N7,N7,5120,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.053767857142857145
1120,1120,5111,N7,N7,5120,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.027999999999999997
1120,1120,5112,N7,N7,5120,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.1715297619047619
1120,1120,5114,N7,N7,5120,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.033035714285714286
1120,1120,5115,N7,N7_1,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 SA,0.26666666666666666
1120,1120,5115,N7,N7_1,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.03130357142857143
1120,1120,5116,N7,N7,5120,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.06941666666666667
1120,1120,5120,N7,N7,5120,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 SA,1.1316818774445894
1120,1120,5120,N7,N7,5120,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.24321428571428572
1120,1120,5151,N7,N7_1,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.06829761904761905
1120,1120,5152,N7,N7_1,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 SA,0.1864406779661017
1120,1120,5152,N7,N7_1,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.1602619047619048
1120,1120,5153,N7,N7_1,6200,DEPOT,32 MA,32 MA,E5,E5,DEPOT,32 MA,32 MA,0.041690476190476194
1120,1120,5155,N7,N7_1,6200,DEPOT,32 MA,32 MA,E5,E5,DEPOT,32 MA,32 SA,0.23311293226547464
1120,1120,5155,N7,N7_1,6200,DEPOT,32 MA,32 MA,E5,E5,DEPOT,32 MA,32 MA,0.009375000000000001
1120,1120,5156,W5,W5,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 SA,0.6628010704727922
1120,1120,5156,W5,W5,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.039547619047619054
1120,1120,5157,N7,N7_1,6200,DEPOT,32 MA,32 MA,E5,E5,DEPOT,32 MA,32 SA,0.027777777777777776
1120,1120,5157,N7,N7_1,6200,DEPOT,32 MA,32 MA,E5,E5,DEPOT,32 MA,32 MA,0.014249999999999999
1120,1120,5201,N7,N7_1,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.22524999999999995
1120,1120,5202,N7,N7_1,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 SA,0.508843537414966
1120,1120,5202,N7,N7_1,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.040214285714285716
1120,1120,5203,N7,N7_1,5120,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 SA,0.33095238095238094
1120,1120,5203,N7,N7_1,5120,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.17561904761904765
1120,1120,5206,N7,N7_1,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 SA,0.02040816326530612
1120,1120,5206,N7,N7_1,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.11873928571428573
1120,1120,5251,N7,N7,5050,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.2113202380952381
1120,1120,5252,N7,N7,5040,DEPOT,32 MA,32 MA,N7,N7,DEPOT,32 MA,32 MA,0.011803571428571429
