ClubPlant,Cluster,SubCluster,Destination,Operator,TruckType,NoofIndents
1130,E6,E6,400181,KAPOOR,32 MA,2
1130,E6,E6,4002,ANAND,18 FT,2
1130,E6,E6,4002,ANAND,32 MA,1
1130,E6,E6,4002,KAPOOR,32 MA,1
1130,E6,E6,4002,NCS,32 MA,3
1130,E6,E6,6000,ANAND,18 FT,2
1130,E6,E6,6000,KAPOOR,32 MA,5
1130,E6,E6,6000,NCS,32 MA,3
1130,E6,E6,6001,ANAND,32 MA,1
1130,E6,E6,6001,KAPOOR,32 MA,1
1130,E6,E6,6001,NCS,32 MA,1
1130,E6,E6,6003,ANAND,32 MA,1
1130,E6,E6,6003,KAPOOR,32 MA,2
1130,E6,E6,6003,TRANSRAIL,32 MA,1
1130,E6,E6,6004,ANAND,32 MA,1
1130,E6,E6,6004,KAPOOR,32 MA,1
1130,E6,E6,6004,NCS,32 MA,1
1130,E6,E6,6011,NCS,32 MA,1
1130,E6,E6,6012,KAPOOR,32 MA,2
1130,E6,E6,6013,KAPOOR,32 MA,2
1130,E6,E6,6013,NCS,32 MA,1
1130,E6,E6,6052,KAPOOR,32 MA,1
1130,E6,E6,6052,NCS,32 MA,1
1130,E6,E6,6053,ANAND,18 FT,1
1130,E6,E6,6053,ANAND,32 MA,1
1130,E6,E6,6053,KAPOOR,32 MA,5
1130,E6,E6,6200,ANAND,18 FT,2
1130,E6,E6,6200,ANAND,32 MA,1
1130,E6,E6,6200,DGFC,32 MA,1
1130,E6,E6,6200,KAPOOR,32 MA,5
1130,E6,E6,6200,NCS,32 MA,1
1130,E6,E6,6201,KAPOOR,32 MA,1
1130,E6,E6,6202,KAPOOR,32 MA,3
1130,E6,E6,6202,NCS,32 MA,1
1130,E6,E6,6204,KAPOOR,32 MA,1
1130,E6,E6,6204,SHREE SHYAM,32 MA,1
1130,E6,E6,6205,KAPOOR,32 MA,1
1130,E6,E6,6206,KAPOOR,32 MA,4
1130,E6,E6,6207,ANAND,18 FT,2
1130,E6,E6,6207,ANAND,32 MA,1
1130,E6,E6,6207,KAPOOR,32 MA,2
1130,E6,E6_1,6102,ANAND,32 MA,3
1130,E6,E6_1,6102,KAPOOR,32 MA,2
1130,E6,E6_1,6102,NCS,32 MA,3
1130,E6,E6_1,6102,TRANSRAIL,18 FT,5
1130,E6,E6_1,6102,TRANSRAIL,32 MA,6
1130,N8,N8,114218,EAST INDIA,18 FT,1
1130,N8,N8,114776,EAST INDIA,32 MA,1
1130,N8,N8,5001,KP TRANSPORT,32 MA,2
1130,N8,N8,5001,SHRINIWASA,32 MA,1
1130,N8,N8,5002,KP TRANSPORT,32 MA,3
1130,N8,N8,5002,SHRINIWASA,32 MA,1
1130,N8,N8,5004,KP TRANSPORT,32 MA,1
1130,N8,N8,5004,SHRINIWASA,32 MA,1
1130,N8,N8,5004,SWASTIK,32 MA,1
1130,N8,N8,5006,SHRINIWASA,32 MA,2
1130,N8,N8,5050,AVG,32 MA,4
1130,N8,N8,5050,DBRC,32 MA,2
1130,N8,N8,5050,DRS,32 MA,3
1130,N8,N8,5050,INDOARYA,32 MA,4
1130,N8,N8,5050,KP TRANSPORT,32 MA,1
1130,N8,N8,5050,LG BROTHERS,32 MA,1
1130,N8,N8,5050,SHRINIWASA,32 MA,3
1130,N8,N8,5050,SWASTIK,32 MA,2
