pk_ID,granularity,rowID,formatting,createdDate,modifiedDate,createdBy,modifiedBy,createdIP,modifiedIP,Plant,SalesOffice,Material,Period,Demand,SubCluster,Cluster,RDC,TruckType,DestCategory,Tyres,DemandTruck
324,,324,{},1450709139,1450709139,19,19,,,1150,8355,21113920,01To10,8,S,S,8300,32 MA,DEPOT,4375,0.0018285714285714285
325,,325,{},1450709139,1450709139,19,19,,,1150,5040,21151320,01To10,5,N6,N6,5040,32 MA,DEPOT,5000,0.001
326,,326,{},1450709139,1450709139,19,19,,,1150,5050,21151320,01To10,10,N5,N5,5050,32 MA,DEPOT,5000,0.002
327,,327,{},1450709139,1450709139,19,19,,,1150,5071,21151320,01To10,8,N4,N4,5050,32 MA,DEPOT,5000,0.0016
328,,328,{},1450709139,1450709139,19,19,,,1150,5103,21151320,01To10,9,N6,N6,5120,32 MA,DEPOT,5000,0.0018
329,,329,{},1450709139,1450709139,19,19,,,1150,5104,21151320,01To10,25,N6,N6,5120,32 MA,DEPOT,5000,0.005
330,,330,{},1450709139,1450709139,19,19,,,1150,5105,21151320,01To10,7,N6,N6,5120,32 MA,DEPOT,5000,0.0014
331,,331,{},1450709139,1450709139,19,19,,,1150,5107,21151320,01To10,17,N6,N6,5050,32 MA,DEPOT,5000,0.0034
332,,332,{},1450709139,1450709139,19,19,,,1150,5111,21151320,01To10,9,N6,N6,5120,32 MA,DEPOT,5000,0.0018
333,,333,{},1450709139,1450709139,19,19,,,1150,5112,21151320,01To10,10,N6,N6,5120,32 MA,DEPOT,5000,0.002
334,,334,{},1450709139,1450709139,19,19,,,1150,5120,21151320,01To10,11,N6,N6,5120,32 MA,DEPOT,5000,0.0022
335,,335,{},1450709139,1450709139,19,19,,,1150,5151,21151320,01To10,16,N4_1,N4,5050,32 MA,DEPOT,5000,0.0032
336,,336,{},1450709139,1450709139,19,19,,,1150,5152,21151320,01To10,29,N4_1,N4,5050,32 MA,DEPOT,5000,0.0058
337,,337,{},1450709139,1450709139,19,19,,,1150,5153,21151320,01To10,15,N4_1,N4,6200,32 MA,DEPOT,5000,0.003
338,,338,{},1450709139,1450709139,19,19,,,1150,5202,21151320,01To10,9,N4_1,N4,5050,32 MA,DEPOT,5000,0.0018
339,,339,{},1450709139,1450709139,19,19,,,1150,5251,21151320,01To10,9,N5,N5,5050,32 MA,DEPOT,5000,0.0018
340,,340,{},1450709139,1450709139,19,19,,,1150,5301,21151320,01To10,9,N5,N5,5040,32 MA,DEPOT,5000,0.0018
341,,341,{},1450709139,1450709139,19,19,,,1150,5306,21151320,01To10,10,N5,N5,5040,32 MA,DEPOT,5000,0.002
342,,342,{},1450709139,1450709139,19,19,,,1150,6000,21151320,01To10,15,E4,E4,6000,32 MA,DEPOT,5000,0.003
343,,343,{},1450709139,1450709139,19,19,,,1150,6001,21151320,01To10,9,E4,E4,6000,32 MA,DEPOT,5000,0.0018
344,,344,{},1450709139,1450709139,19,19,,,1150,6004,21151320,01To10,21,E4,E4,6000,32 MA,DEPOT,5000,0.0042
345,,345,{},1450709139,1450709139,19,19,,,1150,6011,21151320,01To10,19,E4,E4,6000,32 MA,DEPOT,5000,0.0038
346,,346,{},1450709139,1450709139,19,19,,,1150,6012,21151320,01To10,10,E4,E4,6000,18 FT,DEPOT,2000,0.005
347,,347,{},1450709139,1450709139,19,19,,,1150,6053,21151320,01To10,92,E4,E4,BHUBANESHWAR MOGO,32 MA,DEPOT,5000,0.0184
348,,348,{},1450709139,1450709139,19,19,,,1150,6202,21151320,01To10,22,E3,E3,6200,32 MA,DEPOT,5000,0.0044
349,,349,{},1450709139,1450709139,19,19,,,1150,6205,21151320,01To10,5,E3,E3,6200,32 MA,DEPOT,5000,0.001
