ClubPlant,Plant,Cluster,SubCluster,TruckType,Destination,DemandTruckFinal
1160,1160,W2,W2,18 FT,7251,2
1160,1160,W2,W2,18 FT,7252,1
1160,1160,W2,W2,18 FT,7253,1
1160,1160,W2,W2,18 FT,7301,1
1160,1160,W2,W2,18 FT,7302,2
1160,1160,W2,W2,18 FT,104687,8
1160,1160,W2,W2,32 MA,7250,2
1160,1160,W2,W2,32 MA,7302,1
1160,1160,E2,E2,18 FT,6001,1
1160,1160,E2,E2,18 FT,6003,1
1160,1160,E2,E2,18 FT,6004,1
1160,1160,E2,E2,18 FT,6011,1
1160,1160,E2,E2,18 FT,6013,1
1160,1160,E2,E2,18 FT,6053,3
1160,1160,E2,E2,18 FT,6102,4
1160,1160,E2,E2,18 FT,6103,2
1160,1160,E2,E2,18 FT,6104,2
1160,1160,E2,E2,32 MA,6000,2
1160,1160,E2,E2,32 MA,6053,1
1160,1160,W1,W1_1,18 FT,7001,2
1160,1160,W1,W1_1,18 FT,7002,1
1160,1160,W1,W1_1,18 FT,7003,1
1160,1160,W1,W1_1,18 FT,7051,1
1160,1160,W1,W1_1,18 FT,400331,10
1160,1160,W1,W1_1,32 MA,7000,2
1160,1160,W1,W1,18 FT,7102,4
1160,1160,W1,W1,18 FT,7103,3
1160,1160,W1,W1,18 FT,7105,1
1160,1160,W1,W1,18 FT,7151,3
1160,1160,W1,W1,18 FT,7152,5
1160,1160,W1,W1,18 FT,7153,1
1160,1160,W1,W1,18 FT,7154,1
1160,1160,W1,W1,18 FT,7155,1
1160,1160,W1,W1,18 FT,7157,1
1160,1160,W1,W1,18 FT,400006,6
1160,1160,W1,W1,18 FT,400034,7
1160,1160,W1,W1,18 FT,400182,5
1160,1160,W1,W1,18 FT,400191,11
1160,1160,W1,W1,32 MA,7102,1
1160,1160,W1,W1,32 MA,7150,3
1160,1160,W1,W1,32 MA,7152,1
1170,1170,S,S,18 FT,4000,14
1170,1170,S,S,18 FT,7104,1
1170,1170,S,S,18 FT,8001,2
1170,1170,S,S,18 FT,8002,1
1170,1170,S,S,18 FT,8003,2
1170,1170,S,S,18 FT,8005,1
1170,1170,S,S,18 FT,8051,1
1170,1170,S,S,18 FT,8053,1
1170,1170,S,S,18 FT,8054,1
1170,1170,S,S,18 FT,8150,3
1170,1170,S,S,18 FT,8151,2
1170,1170,S,S,18 FT,8153,3
1170,1170,S,S,18 FT,8156,2
1170,1170,S,S,18 FT,8251,2
1170,1170,S,S,18 FT,8252,1
1170,1170,S,S,18 FT,8253,1
1170,1170,S,S,18 FT,8255,2
